Open,High,Low,Close,Adj Close,Volume,Anomaly
143.07000732421875,145.08999633789062,136.5399932861328,142.9199981689453,140.62472534179688,157611700,-1
135.8300018310547,136.74000549316406,130.2100067138672,131.9600067138672,129.8407440185547,177523800,-1
121.75,123.5999984741211,118.62000274658203,120.12999725341797,118.37734985351562,178155000,-1
120.93000030517578,121.0,116.20999908447266,116.36000061035156,114.662353515625,154376600,-1
119.9000015258789,121.43000030517578,119.68000030517578,119.98999786376953,118.23939514160156,185549500,-1
159.99000549316406,165.52000427246094,159.9199981689453,165.3000030517578,163.64797973632812,174048100,-1
175.2100067138672,179.6300048828125,174.69000244140625,179.4499969482422,177.65655517578125,115402700,-1
181.1199951171875,182.1300048828125,175.52999877929688,175.74000549316406,173.98365783691406,153237000,-1
175.11000061035156,179.5,172.30999755859375,179.3000030517578,177.50807189941406,131063300,-1
169.92999267578125,173.47000122070312,169.69000244140625,171.13999938964844,169.42962646484375,195432700,-1
177.08999633789062,180.4199981689453,177.07000732421875,180.3300018310547,178.52777099609375,74919600,-1
179.3300018310547,180.6300048828125,178.13999938964844,179.3800048828125,177.58726501464844,62348900,-1
179.47000122070312,180.57000732421875,178.08999633789062,178.1999969482422,176.41903686523438,59773000,-1
